date_value,requested,fetched,cached_before,no_data
2021-10-24,1,0,0,1
2021-11-09,1,0,0,1
2021-11-14,1,0,0,1
2021-11-16,1,0,1,0
2021-11-18,1,0,0,1
2021-11-20,1,0,0,1
2021-11-22,1,0,1,0
2021-11-23,1,0,1,0
2021-11-24,1,0,1,0
2021-11-26,1,0,1,0
2021-11-30,2,0,1,1
2021-12-04,1,0,0,1
2021-12-06,1,0,0,1
2021-12-07,2,0,1,1
2021-12-11,3,0,0,3
2021-12-13,2,0,1,1
2021-12-14,1,0,0,1
2021-12-15,1,0,1,0
2021-12-17,2,0,1,1
2021-12-18,1,0,0,1
2021-12-19,2,0,1,1
2021-12-20,1,0,1,0
2021-12-21,3,0,3,0
2021-12-23,2,0,2,0
2021-12-25,1,0,1,0
2021-12-27,3,0,1,2
2021-12-28,1,0,1,0
2022-01-01,1,0,1,0
2022-01-03,3,0,1,2
2022-01-09,2,0,0,2
2022-01-10,2,0,0,2
2022-01-11,2,0,0,2
2022-01-13,3,0,1,2
2022-01-17,3,0,3,0
2022-01-19,1,0,1,0
2022-01-24,2,0,2,0
2022-02-09,2,0,2,0
2022-10-02,2,0,0,2
2022-10-18,2,0,0,2
2022-10-25,2,0,0,2
2022-10-31,2,0,0,2
2022-11-01,2,0,0,2
2022-11-02,2,0,2,0
2022-11-04,2,0,2,0
2022-11-08,2,0,2,0
2022-11-15,2,0,2,0
2022-12-01,2,0,2,0
2022-12-17,6,0,6,0
2023-01-02,6,0,6,0
2023-01-09,6,0,6,0
2023-01-15,6,0,6,0
2023-01-16,6,0,6,0
2023-01-17,6,0,6,0
2023-01-19,6,0,6,0
2023-01-23,6,0,6,0
2023-01-30,6,0,6,0
2023-02-01,1,0,1,0
2023-02-13,1,0,0,1
2023-02-15,6,0,6,0
2023-02-17,1,0,1,0
2023-02-24,1,0,1,0
2023-03-01,1,0,0,1
2023-03-02,1,0,1,0
2023-03-03,1,0,1,0
2023-03-04,1,0,1,0
2023-03-06,1,0,1,0
2023-03-08,1,0,0,1
2023-03-10,1,0,1,0
2023-03-14,1,0,0,1
2023-03-15,1,0,1,0
2023-03-16,1,0,1,0
2023-03-17,1,0,1,0
2023-03-18,1,0,1,0
2023-03-22,1,0,1,0
2023-03-29,1,0,1,0
2023-04-02,5,0,1,4
2023-04-05,9,0,0,9
2023-04-10,5,0,3,2
2023-04-13,1,0,1,0
2023-04-14,3,0,1,2
2023-04-17,1,0,0,1
2023-04-18,4,0,0,4
2023-04-21,9,0,0,9
2023-04-23,15,0,2,13
2023-04-24,1,0,0,1
2023-04-25,7,0,1,6
2023-04-26,6,0,4,2
2023-04-28,9,0,1,8
2023-04-29,1,0,1,0
2023-04-30,2,0,0,2
2023-05-01,11,0,3,8
2023-05-02,4,0,0,4
2023-05-03,10,0,4,6
2023-05-04,9,0,6,3
2023-05-05,16,0,7,9
2023-05-06,10,0,7,3
2023-05-07,3,0,0,3
2023-05-08,9,0,6,3
2023-05-09,24,0,8,16
2023-05-10,9,0,6,3
2023-05-11,8,0,6,2
2023-05-12,11,0,8,3
2023-05-13,8,0,8,0
2023-05-14,5,0,3,2
2023-05-15,3,0,3,0
2023-05-16,21,0,0,21
2023-05-17,16,0,10,6
2023-05-18,4,0,2,2
2023-05-19,10,0,9,1
2023-05-20,5,0,3,2
2023-05-21,9,0,3,6
2023-05-22,15,0,10,5
2023-05-23,18,0,13,5
2023-05-24,34,0,23,11
2023-05-25,5,0,3,2
2023-05-26,21,0,17,4
2023-05-27,7,0,5,2
